,Propriété,statuts,total HT,Texte,date_debut,time_delta,date_fin,extra_clean,Année,Mois,Semaine,marge,Jour,mois,Fake_extra_clean,Fake_Propriété,Fake_total HT,Fake_montant HT,,,,,,,,,
0,Propriété 1,standard,1036,,2024-02-06 20:00:00,0 days 12:00:00,2024-02-07 08:00:00,Dr Wayne Evans,2024,2024-02,2024-02-06/2024-02-12,48,2024-02-07,février,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
1,Propriété 1,standard,1036,,2024-02-05 20:00:00,0 days 12:00:00,2024-02-06 08:00:00,Dr Wayne Evans,2024,2024-02,2024-02-06/2024-02-12,48,2024-02-06,février,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
2,Propriété 1,standard,1036,,2024-02-04 20:00:00,0 days 12:00:00,2024-02-05 08:00:00,Dr Wayne Evans,2024,2024-02,2024-01-30/2024-02-05,48,2024-02-05,février,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
3,Propriété 1,standard,1036,,2024-01-28 20:00:00,0 days 12:00:00,2024-01-29 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-23/2024-01-29,48,2024-01-29,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
4,Propriété 1,standard,1036,,2024-01-27 20:00:00,0 days 12:00:00,2024-01-28 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-23/2024-01-29,48,2024-01-28,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
5,Propriété 1,standard,1036,,2024-01-21 20:00:00,0 days 12:00:00,2024-01-22 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-16/2024-01-22,48,2024-01-22,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
6,Propriété 1,standard,1036,,2024-01-20 20:00:00,0 days 12:00:00,2024-01-21 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-16/2024-01-22,48,2024-01-21,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
7,Propriété 1,standard,1036,,2024-01-19 20:00:00,0 days 12:00:00,2024-01-20 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-16/2024-01-22,48,2024-01-20,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
8,Propriété 1,standard,1036,,2024-01-14 20:00:00,0 days 12:00:00,2024-01-15 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-09/2024-01-15,48,2024-01-15,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
9,Propriété 1,standard,1036,,2024-01-13 20:00:00,0 days 12:00:00,2024-01-14 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-09/2024-01-15,48,2024-01-14,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
10,Propriété 2,standard,232,,2024-01-08 22:30:00,0 days 08:45:00,2024-01-09 07:15:00,Dr Gavin Winter,2024,2024-01,2024-01-09/2024-01-15,40,2024-01-09,janvier,Dr Gavin Winter,Propriété 2,232,119,,,,,,,,,
11,Propriété 1,standard,1036,,2024-01-08 20:00:00,0 days 12:00:00,2024-01-09 08:00:00,Dr Wayne Evans,2024,2024-01,2024-01-09/2024-01-15,48,2024-01-09,janvier,Dr Wayne Evans,Propriété 1,1036,340,,,,,,,,,
12,Propriété 2,standard,232,,2024-01-07 22:30:00,0 days 08:45:00,2024-01-08 07:15:00,Dr Gavin Winter,2024,2024-01,2024-01-02/2024-01-08,40,2024-01-08,janvier,Dr Gavin Winter,Propriété 2,232,119,,,,,,,,,
13,Propriété 1,standard,1036,,2024-01-07 20:00:00,0 days 12:00:00,2024-01-08 08:00:00,Henry Shaw,2024,2024-01,2024-01-02/2024-01-08,48,2024-01-08,janvier,Henry Shaw,Propriété 1,1036,340,,,,,,,,,
